matchId,queueId,gameDuration,gameStartTimestamp,summonerName,teamId,championName,kills,deaths,assists,kda,totalMinionsKilled,totalDamageTaken,totalDamageDealtToChampions,goldEarned,visionScore,summoner1Id,summoner2Id,firstTowerKill,firstBloodAssist,firstBloodKill,champExperience,doubleKills,tripleKills,quadraKills,pentaKills,win,gameDurationMin,gameStartTime,gameStartTimeFormatted
BR1_3059670987,420,2047,1738098551101,Arthur Lanches,200,Teemo,12,4,10,5.5,238,21413,37691,16136,22,4,14,True,False,False,19544,1,0,0,0,True,34.1,2025-01-28 21:09:11.101,2025-01-28 21:09:11
BR1_3059651766,420,1626,1738096052296,Arthur Lanches,200,Kennen,10,4,3,3.25,180,23302,31315,13035,12,4,12,False,False,False,14013,1,0,0,0,False,27.1,2025-01-28 20:27:32.296,2025-01-28 20:27:32
BR1_3059626611,420,2077,1738092116751,Arthur Lanches,200,Teemo,8,3,8,5.33,247,16329,30031,14770,18,4,14,False,False,False,17468,1,0,0,0,True,34.6,2025-01-28 19:21:56.751,2025-01-28 19:21:56
BR1_3059608627,420,1314,1738089548361,Arthur Lanches,200,Teemo,5,5,10,3.0,25,14613,13903,7764,51,4,14,False,False,False,8033,0,0,0,0,False,21.9,2025-01-28 18:39:08.361,2025-01-28 18:39:08
BR1_3059594159,420,1650,1738086802628,Arthur Lanches,100,Teemo,5,2,13,9.0,198,13784,23533,12751,11,4,14,True,False,False,18627,0,0,0,0,True,27.5,2025-01-28 17:53:22.628,2025-01-28 17:53:22
BR1_3059577386,420,967,1738084214302,Arthur Lanches,200,Kennen,1,3,1,0.67,129,9135,8864,5686,6,4,12,False,False,False,8214,0,0,0,0,False,16.1,2025-01-28 17:10:14.302,2025-01-28 17:10:14
BR1_3059336142,420,1575,1738024573436,Arthur Lanches,100,Ornn,2,4,6,2.0,157,29715,19669,8685,12,4,12,False,False,False,13201,0,0,0,0,False,26.2,2025-01-28 00:36:13.436,2025-01-28 00:36:13
BR1_3059292800,420,1825,1738021171231,Arthur Lanches,100,Teemo,11,7,7,2.57,166,25495,40593,13660,27,4,14,False,False,False,15397,1,1,0,0,True,30.4,2025-01-27 23:39:31.231,2025-01-27 23:39:31
BR1_3059272321,420,1238,1738019316621,Arthur Lanches,200,Ornn,2,3,4,2.0,157,17595,9542,7391,10,4,12,False,False,False,10829,0,0,0,0,False,20.6,2025-01-27 23:08:36.621,2025-01-27 23:08:36
BR1_3059238707,420,1951,1738016196594,Arthur Lanches,100,Teemo,11,6,13,4.0,236,28602,39129,16857,26,4,14,False,False,False,21125,3,0,0,0,True,32.5,2025-01-27 22:16:36.594,2025-01-27 22:16:36
BR1_3059205756,420,1583,1738012790234,Arthur Lanches,200,Teemo,7,1,7,14.0,178,15856,20948,11988,19,4,14,False,False,True,17350,0,0,0,0,True,26.4,2025-01-27 21:19:50.234,2025-01-27 21:19:50
BR1_3059190533,420,1181,1738010770926,Arthur Lanches,200,Teemo,3,2,1,2.0,160,12122,11322,7420,11,4,14,False,False,False,10341,0,0,0,0,False,19.7,2025-01-27 20:46:10.926,2025-01-27 20:46:10
BR1_3059162692,420,2371,1738006946828,Arthur Lanches,200,Teemo,8,3,18,8.67,217,24437,48377,14619,39,4,14,False,False,True,20256,1,0,0,0,True,39.5,2025-01-27 19:42:26.828,2025-01-27 19:42:26
BR1_3058979132,420,3628,1737949186028,Arthur Lanches,100,Teemo,14,8,22,4.5,395,65187,99908,25737,36,4,14,False,True,False,37470,1,0,0,0,False,60.5,2025-01-27 03:39:46.028,2025-01-27 03:39:46
BR1_3058888762,420,1324,1737939799942,Arthur Lanches,100,Ornn,3,3,9,4.0,138,25240,17445,8717,9,4,12,False,False,False,12050,0,0,0,0,True,22.1,2025-01-27 01:03:19.942,2025-01-27 01:03:19
BR1_3058863055,420,1498,1737937533632,Arthur Lanches,100,Teemo,8,4,7,3.75,209,14147,24046,11887,12,4,14,False,False,False,16037,3,0,0,0,True,25.0,2025-01-27 00:25:33.632,2025-01-27 00:25:33
BR1_3058828553,420,1481,1737934736170,Arthur Lanches,200,Teemo,6,1,7,13.0,193,14018,21115,10947,15,4,14,False,False,False,15887,0,0,0,0,True,24.7,2025-01-26 23:38:56.170,2025-01-26 23:38:56
