matchId,queueId,gameDuration,summonerName,teamId,championName,kills,deaths,assists,kda,totalMinionsKilled,totalDamageTaken,totalDamageDealtToChampions,goldEarned,visionScore,summoner1Id,summoner2Id,firstTowerKill,firstBloodAssist,firstBloodKill,champExperience,doubleKills,tripleKills,quadraKills,pentaKills,win,gameDurationMin,gameStartTime
BR1_3063208232,420,1623,,0,Teemo,3,4,7,2.5,169,15961,24239,9977,15,4,14,False,False,False,14678,0,0,0,0,True,27.0,2025-02-05 20:45:40.422
BR1_3063187280,420,2175,,0,Ornn,2,6,18,3.33,179,59055,31382,11066,20,4,12,False,False,False,15990,0,0,0,0,False,36.2,2025-02-05 19:46:05.361
BR1_3063175264,420,848,,1,Ornn,1,0,3,4.0,102,5284,5983,5139,11,4,12,False,False,False,7213,0,0,0,0,True,14.1,2025-02-05 19:11:04.920
BR1_3063152845,420,1840,,0,Teemo,5,1,7,12.0,213,14204,33318,12146,26,4,14,True,False,False,14560,1,0,0,0,False,30.7,2025-02-05 18:03:07.947
BR1_3063139015,420,1737,,1,Teemo,4,4,6,2.5,207,18429,27662,11827,17,4,14,False,False,False,16165,0,0,0,0,True,29.0,2025-02-05 17:10:47.680
BR1_3063114092,420,2157,,1,Teemo,8,3,9,5.67,198,30842,51247,12922,26,4,14,False,False,False,17567,1,0,0,0,False,36.0,2025-02-05 15:37:26.252
BR1_3063001747,420,1867,Arthur Lanches,1,Teemo,6,4,1,1.75,211,20811,19633,11630,27,4,14,False,False,False,14313,0,0,0,0,False,31.1,2025-02-05 02:26:01.502
BR1_3062857127,420,1656,Arthur Lanches,0,Teemo,5,3,4,3.0,209,17458,22842,11392,17,4,14,False,False,False,14815,0,0,0,0,True,27.6,2025-02-04 22:08:07.830
BR1_3062818625,420,1531,Arthur Lanches,0,Teemo,5,2,8,6.5,187,15953,22214,11787,17,4,14,False,False,False,15031,0,0,0,0,True,25.5,2025-02-04 20:36:02.067
BR1_3062639115,420,1536,Arthur Lanches,1,Teemo,3,1,4,7.0,211,10641,18212,10954,16,4,14,False,False,False,15234,0,0,0,0,True,25.6,2025-02-04 03:26:14.372
BR1_3062624228,420,1000,Arthur Lanches,0,Teemo,1,1,3,4.0,124,6636,4433,6286,8,4,14,False,False,False,8446,0,0,0,0,True,16.7,2025-02-04 02:52:47.376
BR1_3062584708,420,1965,Arthur Lanches,0,Teemo,6,3,9,5.0,227,20242,34260,14657,26,4,14,False,False,False,17206,0,0,0,0,True,32.8,2025-02-04 01:39:24.257
BR1_3062413329,420,1138,Arthur Lanches,1,Karma,1,5,2,0.6,117,13280,5197,5435,12,4,12,False,False,False,7648,0,0,0,0,False,19.0,2025-02-03 20:09:37.391
BR1_3062393084,420,2084,Arthur Lanches,1,Teemo,2,3,10,4.0,242,28797,34302,13118,22,4,14,False,False,False,18200,0,0,0,0,True,34.7,2025-02-03 19:06:02.889
BR1_3062377573,420,1896,Arthur Lanches,0,Ornn,6,6,22,4.67,181,43666,31233,12496,17,4,12,False,False,False,18743,0,0,0,0,True,31.6,2025-02-03 18:22:34.140
BR1_3062367129,420,1905,Arthur Lanches,1,Teemo,3,2,10,6.5,279,18004,27444,13390,19,4,6,False,False,False,17267,0,0,0,0,False,31.8,2025-02-03 17:39:59.319
BR1_3061563123,420,1596,Arthur Lanches,1,Teemo,5,2,6,5.5,197,15994,23148,10800,20,4,14,False,True,False,14528,0,0,0,0,True,26.6,2025-02-01 22:27:22.369
BR1_3061540144,420,1633,Arthur Lanches,1,Gnar,1,3,6,2.33,199,18025,18295,9290,20,4,12,False,False,False,13385,0,0,0,0,False,27.2,2025-02-01 21:45:13.669
BR1_3061514815,420,1559,Arthur Lanches,1,Ornn,5,2,8,6.5,157,36103,18961,10508,15,4,12,False,False,False,12068,0,0,0,0,False,26.0,2025-02-01 21:00:38.634
BR1_3061495467,420,1156,Arthur Lanches,1,Teemo,4,3,0,1.33,148,10904,12311,7660,8,4,14,False,False,False,9624,0,0,0,0,False,19.3,2025-02-01 20:20:59.232
BR1_3061033158,420,1419,Arthur Lanches,0,Kennen,1,2,1,1.0,159,14128,15835,7970,10,4,12,False,False,False,11097,0,0,0,0,True,23.6,2025-01-31 21:21:33.840
BR1_3060996426,420,1292,Arthur Lanches,0,Teemo,7,0,7,14.0,159,6813,16882,10168,12,4,14,True,False,False,12597,1,0,0,0,True,21.5,2025-01-31 19:51:40.205
BR1_3060979247,420,1198,Arthur Lanches,0,Teemo,4,1,2,6.0,136,7979,10070,7926,11,4,14,True,False,False,9063,1,0,0,0,True,20.0,2025-01-31 19:08:27.461
BR1_3060962320,420,1169,Arthur Lanches,1,Ornn,2,2,5,3.5,162,18154,12511,8011,8,4,12,False,False,False,11860,0,0,0,0,True,19.5,2025-01-31 18:22:51.300
BR1_3060944650,420,1496,Arthur Lanches,0,Teemo,6,1,7,13.0,143,10708,14531,9792,5,4,14,True,False,False,11551,1,0,0,0,True,24.9,2025-01-31 17:31:42.848
BR1_3060816676,420,1447,Arthur Lanches,0,Teemo,2,4,10,3.0,161,14535,17184,10213,18,4,14,False,False,False,12838,0,0,0,0,True,24.1,2025-01-31 03:53:15.143
BR1_3060786271,420,1869,Arthur Lanches,1,Teemo,5,2,10,7.5,205,21817,24786,11039,23,4,14,False,False,False,15709,0,0,0,0,True,31.2,2025-01-31 02:39:48.777
BR1_3060754935,420,1717,Arthur Lanches,1,Kennen,3,7,6,1.29,170,27543,18750,10032,13,4,12,False,False,False,11912,0,0,0,0,False,28.6,2025-01-31 01:48:37.148
BR1_3060726033,420,1889,Arthur Lanches,0,Teemo,5,4,7,3.0,220,17077,23127,12057,28,4,14,False,False,False,15621,1,0,0,0,False,31.5,2025-01-31 00:59:37.182
BR1_3060704272,420,987,Arthur Lanches,0,JarvanIV,1,4,9,2.5,11,17973,7366,5881,14,4,11,False,False,False,5992,0,0,0,0,True,16.4,2025-01-31 00:28:09.685
BR1_3060604694,420,2233,Arthur Lanches,0,Teemo,4,5,9,2.6,247,23468,45025,14197,21,4,14,False,False,False,20394,1,0,0,0,True,37.2,2025-01-30 21:45:49.152
BR1_3060585474,420,1595,Arthur Lanches,0,Teemo,10,6,9,3.17,164,18833,26502,11989,11,4,14,False,False,True,15190,1,0,0,0,True,26.6,2025-01-30 21:03:07.963
BR1_3060566851,420,1662,Arthur Lanches,0,Teemo,3,5,6,1.8,194,21266,20938,10178,19,4,14,False,False,False,13422,1,0,0,0,False,27.7,2025-01-30 20:26:40.596
BR1_3060540139,420,1753,Arthur Lanches,0,Teemo,6,3,15,7.0,162,16186,30876,11710,18,4,14,True,False,False,15332,0,0,0,0,True,29.2,2025-01-30 19:08:14.819
BR1_3060522819,420,965,Arthur Lanches,0,Teemo,4,0,3,7.0,144,3361,13519,7394,9,4,14,True,False,False,8997,0,0,0,0,True,16.1,2025-01-30 18:31:54.899
BR1_3060352004,420,1693,Arthur Lanches,1,Kennen,13,4,8,5.25,166,19343,31445,13911,18,4,12,False,False,True,16570,2,0,0,0,True,28.2,2025-01-30 02:52:36.094
BR1_3060317869,420,1805,Arthur Lanches,1,Orianna,12,5,10,4.4,186,22961,27443,13777,19,4,12,False,False,True,15051,1,0,0,0,False,30.1,2025-01-30 01:59:43.183
BR1_3060295347,420,1092,Arthur Lanches,0,Teemo,7,1,6,13.0,114,9253,14227,7879,9,4,14,False,False,False,8319,2,0,0,0,True,18.2,2025-01-30 01:22:50.861
BR1_3060267961,420,913,Arthur Lanches,1,Teemo,2,0,1,3.0,126,4454,6979,5770,9,4,14,False,False,False,8054,0,0,0,0,True,15.2,2025-01-30 00:45:35.684
BR1_3060179423,420,2216,Arthur Lanches,1,Teemo,5,4,14,4.75,259,25339,42750,14763,21,4,14,False,True,False,20254,0,0,0,0,True,36.9,2025-01-29 22:32:23.253
BR1_3060148347,420,1477,Arthur Lanches,1,Teemo,6,2,2,4.0,197,9359,14282,10338,11,4,14,False,False,False,14339,0,0,0,0,True,24.6,2025-01-29 21:35:35.901
BR1_3059836280,420,1580,Arthur Lanches,0,Teemo,5,3,6,3.67,166,16104,24043,9998,13,4,14,False,False,False,13176,0,0,0,0,False,26.3,2025-01-29 01:19:19.717
BR1_3059744703,420,1654,Arthur Lanches,1,Teemo,3,4,1,1.0,190,21393,25100,9440,19,4,14,False,False,False,11856,0,0,0,0,False,27.6,2025-01-28 23:10:49.596
BR1_3059702361,420,2224,Arthur Lanches,1,Teemo,4,6,4,1.33,221,31134,56732,12131,20,4,14,False,False,False,15438,0,0,0,0,False,37.1,2025-01-28 22:04:32.376
BR1_3059670987,420,2047,Arthur Lanches,1,Teemo,12,4,10,5.5,238,21413,37691,16136,22,4,14,True,False,False,19544,1,0,0,0,True,34.1,2025-01-28 21:09:11.101
BR1_3059670987,420,2047,Arthur Lanches,1,Teemo,12,4,10,5.5,238,21413,37691,16136,22,4,14,True,False,False,19544,1,0,0,0,True,34.1,2025-01-28 21:09:11.101
BR1_3059651766,420,1626,Arthur Lanches,1,Kennen,10,4,3,3.25,180,23302,31315,13035,12,4,12,False,False,False,14013,1,0,0,0,False,27.1,2025-01-28 20:27:32.296
BR1_3059626611,420,2077,Arthur Lanches,1,Teemo,8,3,8,5.33,247,16329,30031,14770,18,4,14,False,False,False,17468,1,0,0,0,True,34.6,2025-01-28 19:21:56.751
BR1_3059608627,420,1314,Arthur Lanches,1,Teemo,5,5,10,3.0,25,14613,13903,7764,51,4,14,False,False,False,8033,0,0,0,0,False,21.9,2025-01-28 18:39:08.361
BR1_3059594159,420,1650,Arthur Lanches,0,Teemo,5,2,13,9.0,198,13784,23533,12751,11,4,14,True,False,False,18627,0,0,0,0,True,27.5,2025-01-28 17:53:22.628
BR1_3059577386,420,967,Arthur Lanches,1,Kennen,1,3,1,0.67,129,9135,8864,5686,6,4,12,False,False,False,8214,0,0,0,0,False,16.1,2025-01-28 17:10:14.302
BR1_3059336142,420,1575,Arthur Lanches,0,Ornn,2,4,6,2.0,157,29715,19669,8685,12,4,12,False,False,False,13201,0,0,0,0,False,26.2,2025-01-28 00:36:13.436
BR1_3059292800,420,1825,Arthur Lanches,0,Teemo,11,7,7,2.57,166,25495,40593,13660,27,4,14,False,False,False,15397,1,1,0,0,True,30.4,2025-01-27 23:39:31.231
BR1_3059272321,420,1238,Arthur Lanches,1,Ornn,2,3,4,2.0,157,17595,9542,7391,10,4,12,False,False,False,10829,0,0,0,0,False,20.6,2025-01-27 23:08:36.621
BR1_3059238707,420,1951,Arthur Lanches,0,Teemo,11,6,13,4.0,236,28602,39129,16857,26,4,14,False,False,False,21125,3,0,0,0,True,32.5,2025-01-27 22:16:36.594
BR1_3059205756,420,1583,Arthur Lanches,1,Teemo,7,1,7,14.0,178,15856,20948,11988,19,4,14,False,False,True,17350,0,0,0,0,True,26.4,2025-01-27 21:19:50.234
BR1_3059190533,420,1181,Arthur Lanches,1,Teemo,3,2,1,2.0,160,12122,11322,7420,11,4,14,False,False,False,10341,0,0,0,0,False,19.7,2025-01-27 20:46:10.926
BR1_3059162692,420,2371,Arthur Lanches,1,Teemo,8,3,18,8.67,217,24437,48377,14619,39,4,14,False,False,True,20256,1,0,0,0,True,39.5,2025-01-27 19:42:26.828
BR1_3058979132,420,3628,Arthur Lanches,0,Teemo,14,8,22,4.5,395,65187,99908,25737,36,4,14,False,True,False,37470,1,0,0,0,False,60.5,2025-01-27 03:39:46.028
BR1_3058888762,420,1324,Arthur Lanches,0,Ornn,3,3,9,4.0,138,25240,17445,8717,9,4,12,False,False,False,12050,0,0,0,0,True,22.1,2025-01-27 01:03:19.942
BR1_3058863055,420,1498,Arthur Lanches,0,Teemo,8,4,7,3.75,209,14147,24046,11887,12,4,14,False,False,False,16037,3,0,0,0,True,25.0,2025-01-27 00:25:33.632
BR1_3058828553,420,1481,Arthur Lanches,1,Teemo,6,1,7,13.0,193,14018,21115,10947,15,4,14,False,False,False,15887,0,0,0,0,True,24.7,2025-01-26 23:38:56.170
BR1_3058801673,420,1512,Arthur Lanches,1,Teemo,1,1,2,3.0,204,16383,16360,9010,16,4,14,False,False,False,12919,0,0,0,0,False,25.2,2025-01-26 22:57:15.454
BR1_3058763337,420,2672,Arthur Lanches,0,Teemo,10,6,14,4.0,276,29587,45143,18145,22,4,14,False,False,False,23851,1,0,0,0,True,44.5,2025-01-26 21:59:49.892
BR1_3058738966,420,1031,Arthur Lanches,1,Teemo,1,2,2,1.5,114,7837,6757,5471,9,4,14,False,False,False,7777,0,0,0,0,True,17.2,2025-01-26 21:28:10.370
BR1_3058253648,420,1138,Arthur Lanches,1,Teemo,2,5,3,1.0,138,12302,11254,6354,8,4,14,False,False,False,9203,0,0,0,0,False,19.0,2025-01-26 00:05:13.430
BR1_3058225146,420,1769,Arthur Lanches,1,Varus,5,8,7,1.5,201,25095,25545,12711,13,4,6,False,False,False,17008,1,0,0,0,True,29.5,2025-01-25 23:15:14.048
BR1_3058198500,420,1552,Arthur Lanches,1,Teemo,9,3,7,5.33,203,12934,35978,11875,17,4,14,False,False,False,15786,1,0,0,0,True,25.9,2025-01-25 22:32:37.937
BR1_3058180275,420,1298,Arthur Lanches,0,Teemo,9,0,5,14.0,173,11789,23655,10683,13,4,14,True,False,False,13445,0,0,0,0,True,21.6,2025-01-25 21:59:24.340
