matchId,queueId,gameDuration,gameStartTimestamp,summonerName,teamId,championName,kills,deaths,assists,kda,totalMinionsKilled,totalDamageTaken,totalDamageDealtToChampions,goldEarned,visionScore,summoner1Id,summoner2Id,firstTowerKill,firstBloodAssist,firstBloodKill,champExperience,doubleKills,tripleKills,quadraKills,pentaKills,win,gameDurationMin,gameStartTime,gameStartTimeFormatted
BR1_3055834533,420,1805,1737402381644,Arthur Lanches,100,Teemo,8,4,12,5.0,203,24958,31497,13945,24,4,6,False,False,False,18096,0,0,0,0,True,30.1,2025-01-20 19:46:21.644,2025-01-20 19:46:21
BR1_3055816675,420,2088,1737399504487,Arthur Lanches,200,Teemo,5,8,9,1.75,233,31799,27650,13794,28,4,14,False,False,False,17595,0,0,0,0,True,34.8,2025-01-20 18:58:24.487,2025-01-20 18:58:24
BR1_3055806056,420,1513,1737397396194,Arthur Lanches,200,Teemo,2,6,1,0.5,185,17601,13693,9981,13,4,14,False,False,False,11661,0,0,0,0,False,25.2,2025-01-20 18:23:16.194,2025-01-20 18:23:16
BR1_3055788872,420,1762,1737394602675,Arthur Lanches,100,Teemo,5,2,5,5.0,200,20285,24833,12694,14,4,14,False,False,True,16297,1,0,0,0,True,29.4,2025-01-20 17:36:42.675,2025-01-20 17:36:42
BR1_3055664487,420,3140,1737343459133,Arthur Lanches,100,Malphite,7,11,19,2.36,267,83843,42637,17248,29,4,12,False,False,False,23438,0,0,0,0,False,52.3,2025-01-20 03:24:19.133,2025-01-20 03:24:19
BR1_3055592300,420,1465,1737334562782,Arthur Lanches,100,Teemo,5,5,3,1.6,185,18946,22222,9545,16,4,14,False,False,False,12604,0,0,0,0,False,24.4,2025-01-20 00:56:02.782,2025-01-20 00:56:02
BR1_3055568140,420,1702,1737332054104,Arthur Lanches,200,Teemo,6,0,5,11.0,208,14474,21350,12545,25,4,14,False,False,False,16145,1,0,0,0,True,28.4,2025-01-20 00:14:14.104,2025-01-20 00:14:14
BR1_3055539939,420,1747,1737329231172,Arthur Lanches,200,Teemo,10,1,10,20.0,240,23795,42348,15345,24,4,14,True,False,False,18643,0,0,0,0,True,29.1,2025-01-19 23:27:11.172,2025-01-19 23:27:11
BR1_3055520156,420,1789,1737326899820,Arthur Lanches,100,Teemo,9,11,11,1.82,205,36441,32884,12897,11,4,14,False,False,True,15251,1,0,0,0,False,29.8,2025-01-19 22:48:19.820,2025-01-19 22:48:19
BR1_3054597829,420,2140,1737157823770,Arthur Lanches,100,Teemo,18,7,10,4.0,217,34253,49968,16329,21,4,14,False,False,True,19708,1,0,0,0,False,35.7,2025-01-17 23:50:23.770,2025-01-17 23:50:23
BR1_3054577295,420,1646,1737155218632,Arthur Lanches,200,Teemo,2,0,6,8.0,217,8220,21935,10314,14,4,14,False,False,False,14429,0,0,0,0,True,27.4,2025-01-17 23:06:58.632,2025-01-17 23:06:58
BR1_3054559515,420,1579,1737152990365,Arthur Lanches,200,Teemo,9,6,4,2.17,172,18760,24351,11637,16,4,14,False,False,False,14724,0,0,0,0,False,26.3,2025-01-17 22:29:50.365,2025-01-17 22:29:50
BR1_3054542605,420,1155,1737151090894,Arthur Lanches,200,Teemo,4,1,4,8.0,172,6633,10834,9289,10,4,14,True,False,False,11195,0,0,0,0,True,19.2,2025-01-17 21:58:10.894,2025-01-17 21:58:10
BR1_3054525353,420,1744,1737148581643,Arthur Lanches,100,Teemo,6,6,8,2.33,220,24844,30191,11362,16,6,14,False,False,False,14841,1,0,0,0,False,29.1,2025-01-17 21:16:21.643,2025-01-17 21:16:21
BR1_3054507991,420,1570,1737146216877,Arthur Lanches,100,Teemo,2,3,3,1.67,200,16004,18343,9213,14,4,14,False,False,False,13934,0,0,0,0,False,26.2,2025-01-17 20:36:56.877,2025-01-17 20:36:56
BR1_3054495883,420,1501,1737144296902,Arthur Lanches,100,Teemo,5,1,5,10.0,215,11449,28613,10733,14,4,14,False,False,False,13508,0,0,0,0,False,25.0,2025-01-17 20:04:56.902,2025-01-17 20:04:56
BR1_3054476300,420,2105,1737140771012,Arthur Lanches,100,Teemo,7,4,5,3.0,255,19508,26034,16656,26,4,14,False,False,False,20749,0,0,0,0,True,35.1,2025-01-17 19:06:11.012,2025-01-17 19:06:11
